Company Name,Stock Name,Filing Time,New Product,Product Description
ADBE,ADBE,2025-01-13,Firefly Video Model (public beta),"Enables generative text-to-video and image-to-video capabilities, supporting modern digital media creation."
ADBE,ADBE,2025-01-13,Firefly Image 3 Foundation Model,"Enhances image generation with AI, offering faster and higher-quality outputs."
ADBE,ADBE,2025-01-13,Firefly Models Development Group,Develops and integrates AI models into Adobe Creative Cloud to boost creativity.
ADBE,ADBE,2025-01-13,Custom Models Group,Focuses on enterprise-scale custom model training and deployment for creative solutions.
ADBE,ADBE,2025-01-13,"Firefly Models, Custom Models, & Firefly Video Model","Integrated solutions for content creators and enterprises, enhancing production capabilities."
ADBE,ADBE,2025-01-13,Firefly Models & Video Model,"Focuses on video capabilities, integrating with other Adobe Creative Cloud products for seamless solutions."
Microsoft,,2024-07-30,Azure Maia,A custom AI accelerator and in-house central processing unit for Azure Cloud Services.
Microsoft,,2024-07-30,Azure Cobalt,Custom AI accelerator and in-house central processing unit for Azure Cloud Services.
Microsoft,,2024-07-30,Environmental Sustainability Report (ESR) 2023,Comprehensive report on Microsoft's sustainability efforts in AI workloads.
NVIDIA,NVDA,2025-02-26,Autonomous Driving System-on-Chip,"A system-on-chip designed for autonomous driving applications, utilizing NVIDIA's GPU capabilities."
NVIDIA,NVDA,2025-02-26,AutoML System-on-Chip,An AI-specific platform that enables automated machine learning and model deployment.
NVIDIA,NVDA,2025-02-26,Open-AI Framework,A framework that enables AI workloads to be developed and deployed across the enterprise.
NVIDIA,NVDA,2025-02-26,Tensor Core GPU,A new technology that accelerates AI computations by providing parallel processing capabilities on NVIDIA GPUs.
NVIDIA,NVDA,2025-02-26,Tensor Core GPUs,"Introducing NVIDIA Tensor Core GPUs in 2017, designed for AI and parallel processing."
NVIDIA,NVDA,2025-02-26,A100/ H100 Integrated Circuits chips,Announced licensing requirements for exports to China and country groups starting in 2023.
NVIDIA,NVDA,2025-02-26,Blackwell Architecture,Launch of NVIDIA Blackwell architecture in fiscal year 2025 for AI computing.
NVIDIA,NVDA,2025-02-26,RTX 50 Series GPU,Introduction of NVIDIA RTX 50 series GPUs in the Blackwell architecture for AI applications.
NVIDIA,NVDA,2025-02-26,Earth-2 Initiative,NVIDIA Earth-2 initiative creating a digital twin of the Earth for climate science and mitigation strategies.
Alphabet,GOOGL,2025-02-05,Gemini,"A multimodal AI model designed to understand and interact with various data types including text, code, audio, image, and video. It powers products like Android, Gmail, Maps, Play Store, Search, and YouTube, enhancing user experiences through seamless integration."
Alphabet,GOOGL,2025-02-05,Gemini 2.0,"The most capable model yet, extending Gemini's multimodal capabilities to handle universal AI assistant tasks across all platforms."
Intel,INTC,2024-12-31," advisory group for x86 ecosystem to enable compatibility across platforms, simplify software development, and provide a platform for identifying architectural needs and features.", We announce the creation of an advisory group to expand Intel's x86 ecosystem with an eye toward enabling compatibility across multiple platforms. This advisory will facilitate streamlined software development processes by simplifying architectural choices while providing developers with a robust platform to meet diverse technical requirements.
Intel,INTC,2024-12-31," Core™ Ultra Series 1 (integrated neural processing unit for AI workloads) manufactured on Intel 4 process, introducing the first AI PCs to the market.", The Core™ Ultra Series 1 is designed with an integrated neural processing unit to support AI workload requirements. This series includes products like Intel Core Ultra 200V and integrates Intel 7 process technology into high-volume manufacturing. 
Intel,INTC,2024-12-31," Arc™ graphics family introducing the Arc B-Series, which leverages our Xe2 GPU architecture for improved efficiency and long-lasting battery life."," The Arc B-Series GPU is based on Intel's Xe2 architecture, offering enhanced performance, second-generation ray tracing, and XMX AI acceleration. This series is designed for immersive gaming experiences with improved energy efficiency and longer battery life."
Intel,INTC,2024-12-31, Edge Computing Design Including the NPU IP on desktops for AI-powered edge processing.," The NPU IP (Near-Power Unit Processor) IP design enables AI-powered edge computing solutions, providing a lightweight platform for executing AI tasks at edge devices. "
Intel,INTC,2024-12-31, Open Platform for Enterprise AI introducing a modular microservice ecosystem specifically designed for enterprise AI integration.," The Open Platform for Enterprise AI is a modular, enterprise-grade microservice platform aimed at simplifying AI integration into existing enterprise systems. It provides a flexible foundation for scalable AI solutions across diverse organizations."
Tesla,TSLA,2025-01-30,R-Hailing Network Expansion (Robotaxi),"We intend to begin launching our Robotaxi business, a ride-hailing network that will eventually operate fully autonomous vehicles. We expect this business to open access to new customer bases as transportation modes evolve. Our AI capabilities with Cortex and NACS differentiate us from competitors."
Tesla,TSLA,2025-01-30,Insurance Product Launch,"In 2021, we launched our insurance product using real-time driving behavior in select states. Our insurance products offer better rates than alternatives and promote safer driving. We plan to expand markets for insurance products in 2025."
Tesla,TSLA,2025-01-30,Global Manufacturing Expansion,"We have manufacturing facilities in China and Germany, allowing us to increase affordability locally by reducing transportation and manufacturing costs. We also plan to expand cost competitiveness by adding local manufacturing."
Tesla,TSLA,2025-01-30,Global Gigafactory Expansion,We are expanding production capacity with a Gigafactory in Mexico. We intend to further enhance cost competitiveness by localizing manufacturing.
WMT,WMT,2025-03-14,"Walmart's expansion of eCommerce to over 8,000 pickup and delivery locations.","We introduced Site-to-Store service in 2007 with 8,000 pickup and delivery locations globally."
WMT,WMT,2025-03-14,Sam's Club U.S.'s rewards program in 2023.,"With a rewards program, members receive Sam's Cash and access exclusive benefits."
MA,,2025-02-12,Alias-Based Remittances and Payouts platform,"A platform designed to eliminate manual capture processes for cross-border remittances, using an beneficiary's existing alias (like their phone number or email) instead of requiring personal information."
MA,,2025-02-12,Decision Intelligence Pro,An enhancement using generative AI to boost fraud detection rates.
Unh,UNH,2025-02-27,Acquisition-related risks impacting business operations and supply chain integration,"Firms involved in PBM activities face increased risks from acquisition-related developments due to potential integration challenges, such as vulnerabilities and legal uncertainties."
NFLX,NFLX,2025-01-27,entertainment videos,We expanded our entertainment video offering to include games and more recently live programming. We may seek to extend business into new products and services for growth.
KO,KO 2025-02-20,"Feb 20, 2025",Global Ventures expansion,Expansion of Global Ventures' operations into Europe-Mid East-Africa to streamline and simplify our current structure.
BAC,BAC,2025-02-25,Hourly wage increases,"We increased our minimum hourly wage for U.S. employees to $25 per hour by 2025, recognizing sharing successes with teammates in January 2025."
BAC,BAC,2025-02-25,Sharing Success compensation awards,"In January 2025, we announced that our teammates received Sharing Success compensation awards for their efforts during 2024. Approximately 97% of employees globally received an award in the first quarter of 2025."
BAC,BAC,2025-02-25,Economic challenges and disruptions,"We face long-term and short-term negative impacts from economic weaknesses, including inflation, climate change, natural disasters (earthquakes, hurricanes), and increased demand for real estate services. Operations are at risk of disruption due to potential outages, infrastructure failures, and supply chain issues."
